actual	probability	label
0	0.001298	0
1	0.999390	1
0	0.001263	0
0	0.035182	0
1	0.978875	1
0	0.035585	0
1	0.997842	1
0	0.000953	0
1	0.998835	1
0	0.000860	0
1	0.998743	1
0	0.001617	0
0	0.001133	0
1	0.999021	1
0	0.031399	0
1	0.416734	0
0	0.000531	0
1	0.962037	1
0	0.028443	0
1	0.999433	1
0	0.000628	0
0	0.025160	0
0	0.000958	0
1	0.998988	1
0	0.519704	1
0	0.037242	0
1	0.997680	1
1	0.999415	1
1	0.956910	1
0	0.001511	0
1	0.947875	1
1	0.981795	1
1	0.999353	1
1	0.999127	1
0	0.050084	0
0	0.001368	0
1	0.998260	1
1	0.939155	1
1	0.999302	1
0	0.000783	0
0	0.000806	0
1	0.998716	1
1	0.957557	1
1	0.999403	1
1	0.999198	1
0	0.001342	0
0	0.046972	0
1	0.512463	1
0	0.021843	0
0	0.000743	0
1	0.974931	1
0	0.001652	0
1	0.024694	0
0	0.001123	0
0	0.001617	0
1	0.999239	1
1	0.957093	1
0	0.001498	0
1	0.961382	1
1	0.922697	1
0	0.002436	0
0	0.001296	0
1	0.998511	1
0	0.001302	0
0	0.001393	0
1	0.980321	1
0	0.001357	0
0	0.035839	0
1	0.972632	1
1	0.393865	0
0	0.032403	0
1	0.998991	1
1	0.999518	1
0	0.024931	0
1	0.955697	1
0	0.035520	0
1	0.944259	1
0	0.000818	0
1	0.950185	1
1	0.998805	1
0	0.031071	0
1	0.985402	1
0	0.001270	0
0	0.043938	0
0	0.039328	0
0	0.002995	0
0	0.001738	0
0	0.000707	0
1	0.998978	1
0	0.001296	0
0	0.046887	0
0	0.564283	1
0	0.000744	0
0	0.002440	0
1	0.997983	1
0	0.001511	0
0	0.001265	0
0	0.001782	0
0	0.016936	0
1	0.999078	1
1	0.998416	1
0	0.030237	0
0	0.000900	0
0	0.000990	0
0	0.029580	0
0	0.000557	0
1	0.323679	0
0	0.001504	0
0	0.578864	1
1	0.998609	1
0	0.018307	0
0	0.003773	0
1	0.969218	1
0	0.001582	0
0	0.001582	0
1	0.999260	1
1	0.998637	1
0	0.622301	1
0	0.026119	0
1	0.969390	1
0	0.001765	0
1	0.968155	1
1	0.998726	1
0	0.001439	0
0	0.000784	0
1	0.966172	1
0	0.001014	0
0	0.003159	0
1	0.999316	1
1	0.999070	1
1	0.998539	1
0	0.001014	0
0	0.002103	0
0	0.023075	0
0	0.000778	0
1	0.998477	1
1	0.999217	1
0	0.024693	0
1	0.999300	1
0	0.001278	0
0	0.002112	0
1	0.999548	1
1	0.998923	1
0	0.001062	0
1	0.998734	1
0	0.034732	0
1	0.999376	1
0	0.018307	0
1	0.962270	1
1	0.999491	1
1	0.020194	0
0	0.001068	0
0	0.024933	0
0	0.000964	0
1	0.997900	1
1	0.998164	1
0	0.042980	0
0	0.033824	0
0	0.000817	0
1	0.978844	1
1	0.998802	1
0	0.002567	0
1	0.997989	1
0	0.972368	1
0	0.001652	0
1	0.984632	1
1	0.999495	1
0	0.041017	0
0	0.124885	0
0	0.025660	0
0	0.033261	0
1	0.998891	1
0	0.000976	0
1	0.998834	1
0	0.001178	0
1	0.979139	1
0	0.043572	0
0	0.646721	1
1	0.999457	1
0	0.032248	0
0	0.034454	0
0	0.031957	0
1	0.999083	1
0	0.000785	0
0	0.000818	0
0	0.034225	0
1	0.998331	1
1	0.999563	1
0	0.000531	0
1	0.936631	1
0	0.000729	0
1	0.968550	1
0	0.000907	0
1	0.967467	1
0	0.068076	0
0	0.001436	0
1	0.998903	1
1	0.998998	1
1	0.948164	1
1	0.962163	1
1	0.997441	1
0	0.001150	0
0	0.448290	0
1	0.998810	1
0	0.001695	0
0	0.003773	0
1	0.999376	1
1	0.974653	1
1	0.969812	1
1	0.998862	1
1	0.970073	1
1	0.998712	1
0	0.099255	0
0	0.000979	0
0	0.001122	0
0	0.001037	0
1	0.981275	1
1	0.983830	1
0	0.039757	0
0	0.001549	0
0	0.022679	0
1	0.998975	1
0	0.027024	0
0	0.001402	0
1	0.999323	1
1	0.601275	1
1	0.998647	1
1	0.998896	1
1	0.984318	1
1	0.500158	1
1	0.666169	1
1	0.998906	1
0	0.001117	0
0	0.000845	0
0	0.000876	0
1	0.999165	1
1	0.381697	0
1	0.998750	1
1	0.998730	1
1	0.998726	1
0	0.039048	0
0	0.000585	0
1	0.394921	0
1	0.998997	1
1	0.999068	1
1	0.999218	1
1	0.987692	1
0	0.001175	0
1	0.998252	1
0	0.000921	0
0	0.001657	0
1	0.998275	1
1	0.998970	1
1	0.999369	1
1	0.916894	1
1	0.984898	1
0	0.019685	0
0	0.001826	0
0	0.044128	0
1	0.998485	1
0	0.000838	0
1	0.999222	1
1	0.944803	1
1	0.998869	1
0	0.041116	0
1	0.961128	1
0	0.001784	0
0	0.394311	0
1	0.999290	1
0	0.001189	0
1	0.952286	1
0	0.003087	0
0	0.498053	0
0	0.001735	0
1	0.998976	1
1	0.999208	1
1	0.974505	1
1	0.936806	1
1	0.998748	1
1	0.999222	1
1	0.998124	1
1	0.999358	1
0	0.744324	1
0	0.021129	0
0	0.000742	0
0	0.001011	0
0	0.667899	1
1	0.998132	1
1	0.347715	0
0	0.002672	0
0	0.000713	0
0	0.033217	0
0	0.783433	1
1	0.999541	1
1	0.975278	1
0	0.016887	0
1	0.999233	1
0	0.039274	0
0	0.031402	0
0	0.001364	0
1	0.999215	1
0	0.002415	0
0	0.001535	0
0	0.032003	0
1	0.999130	1
1	0.998943	1
0	0.000747	0
0	0.024552	0
0	0.001582	0
0	0.055140	0
0	0.037190	0
0	0.042876	0
0	0.044501	0
0	0.024410	0
1	0.997320	1
0	0.001294	0
0	0.001699	0
1	0.998929	1
1	0.999067	1
1	0.962518	1
1	0.367046	0
0	0.001477	0
0	0.001965	0
1	0.999181	1
0	0.000876	0
0	0.049502	0
1	0.999183	1
1	0.385436	0
1	0.999214	1
0	0.001549	0
1	0.998917	1
1	0.953239	1
0	0.028705	0
1	0.998560	1
1	0.999339	1
1	0.999236	1
0	0.000968	0
1	0.948791	1
1	0.943969	1
1	0.953741	1
1	0.999166	1
1	0.998077	1
1	0.999154	1
1	0.997939	1
0	0.000838	0
1	0.927809	1
0	0.028185	0
1	0.998487	1
0	0.041289	0
1	0.989947	1
1	0.951520	1
0	0.019685	0
1	0.998492	1
1	0.999143	1
0	0.001573	0
0	0.000880	0
1	0.999025	1
1	0.921642	1
0	0.000949	0
0	0.000861	0
0	0.001143	0
0	0.045928	0
0	0.030455	0
1	0.594979	1
0	0.001053	0
1	0.999589	1
1	0.948935	1
0	0.505933	1
0	0.002149	0
0	0.001158	0
0	0.053867	0
0	0.001096	0
1	0.999715	1
1	0.918860	1
0	0.000692	0
0	0.095193	0
0	0.001050	0
1	0.334016	0
1	0.998805	1
0	0.000746	0
0	0.001374	0
0	0.001267	0
0	0.068296	0
0	0.027296	0
1	0.957096	1
1	0.968894	1
1	0.981050	1
1	0.999007	1
0	0.003168	0
1	0.999754	1
1	0.998834	1
1	0.954730	1
0	0.037526	0
0	0.027440	0
1	0.998191	1
0	0.001118	0
0	0.022744	0
0	0.017468	0
1	0.974149	1
0	0.000949	0
0	0.004037	0
1	0.998670	1
0	0.001104	0
1	0.965077	1
0	0.052552	0
0	0.002493	0
0	0.020658	0
1	0.976562	1
1	0.498422	0
0	0.001470	0
1	0.998992	1
1	0.944414	1
1	0.998796	1
1	0.975725	1
0	0.080912	0
0	0.000628	0
0	0.000974	0
1	0.998297	1
0	0.001624	0
0	0.105359	0
1	0.998741	1
0	0.001090	0
1	0.441723	0
0	0.044925	0
1	0.965735	1
0	0.021551	0
1	0.998969	1
0	0.001617	0
1	0.960418	1
1	0.963726	1
0	0.001582	0
1	0.999067	1
0	0.001544	0
1	0.999494	1
1	0.973405	1
0	0.001965	0
0	0.030850	0
0	0.001213	0
1	0.999390	1
1	0.999274	1
0	0.001334	0
1	0.998757	1
0	0.052392	0
1	0.982107	1
0	0.001699	0
1	0.997506	1
0	0.000935	0
1	0.999376	1
1	0.956361	1
1	0.998759	1
1	0.998427	1
0	0.027414	0
1	0.999280	1
0	0.001696	0
0	0.018974	0
1	0.974775	1
1	0.938278	1
1	0.353655	0
0	0.000839	0
1	0.998774	1
0	0.000908	0
0	0.450849	0
0	0.001213	0
1	0.998294	1
0	0.030528	0
0	0.000824	0
1	0.987498	1
1	0.998553	1
0	0.001397	0
1	0.930652	1
1	0.999093	1
1	0.990422	1
0	0.053791	0
0	0.000768	0
1	0.975444	1
1	0.329958	0
0	0.001502	0
0	0.000571	0
1	0.957074	1
1	0.999356	1
0	0.524859	1
0	0.001057	0
1	0.981077	1
1	0.999092	1
0	0.001079	0
1	0.998430	1
1	0.998829	1
0	0.000992	0
1	0.950324	1
1	0.998653	1
0	0.003242	0
0	0.001128	0
1	0.999372	1
1	0.998789	1
1	0.999482	1
1	0.999358	1
0	0.060981	0
1	0.998819	1
0	0.003410	0
0	0.000857	0
1	0.998416	1
1	0.999238	1
0	0.476786	0
0	0.001652	0
0	0.000631	0
0	0.050582	0
0	0.000726	0
1	0.998077	1
1	0.969466	1
1	0.999421	1
0	0.000907	0
1	0.969815	1
0	0.000724	0
0	0.000906	0
0	0.040996	0
0	0.001245	0
1	0.998884	1
1	0.972761	1
1	0.491288	0
1	0.961054	1
1	0.998817	1
1	0.998494	1
0	0.000969	0
1	0.961402	1
0	0.032528	0
1	0.999553	1
0	0.643026	1
1	0.999482	1
1	0.964575	1
0	0.002260	0
1	0.966425	1
1	0.968051	1
1	0.470544	0
1	0.481836	0
1	0.999007	1
1	0.999018	1
0	0.037830	0
1	0.997677	1
0	0.455221	0
0	0.001741	0
0	0.025439	0
1	0.922381	1
1	0.998654	1
1	0.957316	1
0	0.028841	0
0	0.023164	0
1	0.948935	1
1	0.997998	1
0	0.000746	0
1	0.969452	1
1	0.998472	1
1	0.998474	1
0	0.584495	1
0	0.036878	0
0	0.000724	0
1	0.998374	1
0	0.000675	0
0	0.043753	0
1	0.967621	1
0	0.017051	0
1	0.955616	1
0	0.034420	0
1	0.998660	1
1	0.959553	1
1	0.998890	1
0	0.000867	0
0	0.023796	0
0	0.117340	0
0	0.001511	0
0	0.001106	0
1	0.999146	1
0	0.018548	0
0	0.003582	0
1	0.999389	1
0	0.001232	0
0	0.002192	0
1	0.988327	1
1	0.997954	1
1	0.931572	1
1	0.999161	1
1	0.998695	1
1	0.999402	1
0	0.000663	0
1	0.978414	1
0	0.001115	0
1	0.999547	1
1	0.998949	1
0	0.001030	0
1	0.450354	0
0	0.001364	0
0	0.028620	0
0	0.033837	0
0	0.000678	0
1	0.989075	1
1	0.999390	1
0	0.002011	0
1	0.980595	1
0	0.001696	0
1	0.997181	1
1	0.962537	1
0	0.512847	1
0	0.003939	0
0	0.001361	0
0	0.000944	0
0	0.034322	0
0	0.023411	0
0	0.001464	0
0	0.027244	0
0	0.000884	0
1	0.998041	1
0	0.024931	0
0	0.001370	0
1	0.999257	1
0	0.000746	0
1	0.947288	1
1	0.960085	1
1	0.997381	1
0	0.031204	0
1	0.972329	1
0	0.001040	0
1	0.997795	1
1	0.998514	1
0	0.000759	0
0	0.000661	0
0	0.000906	0
0	0.001576	0
0	0.000677	0
0	0.611153	1
1	0.998708	1
0	0.031011	0
1	0.975489	1
1	0.999275	1
0	0.000748	0
1	0.969159	1
1	0.999236	1
0	0.002734	0
1	0.969128	1
0	0.035585	0
1	0.997832	1
1	0.997622	1
0	0.039757	0
1	0.421772	0
0	0.025612	0
1	0.969568	1
1	0.032714	0
1	0.998647	1
1	0.959184	1
1	0.998723	1
1	0.967987	1
0	0.000731	0
0	0.001096	0
1	0.948215	1
1	0.998969	1
1	0.998032	1
0	0.001464	0
0	0.036595	0
0	0.437941	0
1	0.998777	1
0	0.002422	0
1	0.999232	1
1	0.999541	1
0	0.002005	0
0	0.044004	0
0	0.000931	0
0	0.002061	0
1	0.977260	1
1	0.998915	1
0	0.036685	0
0	0.001234	0
0	0.001127	0
1	0.999329	1
0	0.000709	0
1	0.998272	1
1	0.999103	1
0	0.001306	0
0	0.015372	0
0	0.001023	0
1	0.998842	1
0	0.503595	1
1	0.980847	1
0	0.000711	0
1	0.997992	1
0	0.001014	0
0	0.001156	0
0	0.063561	0
0	0.033072	0
0	0.041916	0
0	0.000678	0
1	0.486764	0
0	0.000781	0
1	0.972525	1
1	0.962339	1
0	0.001310	0
1	0.998808	1
0	0.000885	0
1	0.983484	1
0	0.000943	0
0	0.001359	0
1	0.998802	1
0	0.027600	0
0	0.001220	0
1	0.351430	0
0	0.057045	0
0	0.001243	0
0	0.001047	0
1	0.999144	1
0	0.001156	0
0	0.001472	0
1	0.956193	1
1	0.999433	1
0	0.025087	0
0	0.772372	1
1	0.998255	1
0	0.001074	0
1	0.999127	1
0	0.001655	0
1	0.999184	1
0	0.001182	0
0	0.001073	0
1	0.958093	1
1	0.999017	1
1	0.997891	1
0	0.024142	0
1	0.999384	1
0	0.483665	0
0	0.834247	1
1	0.997320	1
1	0.227092	0
0	0.000898	0
1	0.999457	1
1	0.954725	1
0	0.001573	0
0	0.022215	0
1	0.999046	1
1	0.988011	1
1	0.980483	1
0	0.498684	0
0	0.001408	0
1	0.518638	1
0	0.001406	0
1	0.934886	1
1	0.395141	0
0	0.561376	1
1	0.962126	1
0	0.000778	0
1	0.998805	1
0	0.000644	0
0	0.001265	0
1	0.963982	1
1	0.999343	1
1	0.981794	1
0	0.000801	0
1	0.998746	1
1	0.961709	1
0	0.044605	0
0	0.026688	0
0	0.000982	0
0	0.052947	0
1	0.958645	1
0	0.507538	1
0	0.094940	0
0	0.000614	0
1	0.999176	1
0	0.000781	0
0	0.001182	0
0	0.001441	0
1	0.998912	1
0	0.022171	0
1	0.998831	1
0	0.033421	0
1	0.988463	1
1	0.999445	1
1	0.998793	1
0	0.045624	0
1	0.998653	1
0	0.000827	0
0	0.001578	0
1	0.998568	1
0	0.000531	0
1	0.988435	1
0	0.441821	0
1	0.972024	1
0	0.024788	0
1	0.965408	1
1	0.317880	0
1	0.999203	1
0	0.001190	0
0	0.037670	0
1	0.999455	1
0	0.018184	0
0	0.033356	0
0	0.095492	0
1	0.998562	1
1	0.498448	0
0	0.039701	0
1	0.964185	1
0	0.001372	0
1	0.344597	0
1	0.986401	1
1	0.998793	1
1	0.032310	0
1	0.999022	1
0	0.000570	0
1	0.943263	1
0	0.002851	0
0	0.043876	0
1	0.999164	1
1	0.998662	1
1	0.012421	0
0	0.056437	0
0	0.003043	0
0	0.057604	0
1	0.999555	1
0	0.000845	0
1	0.999117	1
0	0.001874	0
0	0.001020	0
0	0.001091	0
1	0.999241	1
1	0.999005	1
0	0.000882	0
0	0.000899	0
0	0.002668	0
0	0.040213	0
1	0.998684	1
1	0.998890	1
1	0.998970	1
0	0.001696	0
1	0.998963	1
1	0.999482	1
0	0.030837	0
1	0.999176	1
1	0.997845	1
1	0.983593	1
0	0.412435	0
1	0.999132	1
0	0.000925	0
0	0.001265	0
1	0.965621	1
1	0.999197	1
0	0.041684	0
1	0.961238	1
1	0.967713	1
1	0.960513	1
1	0.999153	1
1	0.954001	1
0	0.001461	0
0	0.001304	0
1	0.976415	1
0	0.000989	0
1	0.979229	1
1	0.999165	1
0	0.000885	0
0	0.001243	0
0	0.032806	0
0	0.001243	0
1	0.998001	1
0	0.044271	0
1	0.998511	1
1	0.956684	1
0	0.001200	0
0	0.001580	0
0	0.001071	0
0	0.000784	0
1	0.998717	1
